Accident Ref No.,Casualty Class,Sex of Casualty
10AA0002907,Driver,Male
10CA0002881,Driver,Male
10CA0002883,Pedestrian,Male
10AA0002877,Passenger,Female
10AA0002877,Passenger,Female
10AA0002909,Pedestrian,Male
10BA0002987,Driver,Male
10CA0002851,Driver,Female
10CA0002898,Driver,Male
10CA0002898,Passenger,Female
10CA0003077,Driver,Male
10AA0002892,Driver,Male
10AA0002911,Pedestrian,Female
10AA0002933,Driver,Male
10AA0003106,Driver,Female
10BA0003171,Driver,Male
10BA0003171,Driver,Female
10BA0003460,Pedestrian,Male
10CA0002912,Pedestrian,Male
10CA0002944,Driver,Male
10CA0002979,Pedestrian,Male
10AA0002998,Driver,Male
10BA0003368,Driver,Male
10CA0002928,Pedestrian,Male
10CA0002949,Driver,Male
10CA0002997,Pedestrian,Female
10CA0003045,Pedestrian,Female
10DA0002964,Driver,Female
10DA0002964,Passenger,Female
10BA0002939,Driver,Male
10BA0002977,Driver,Male
10BA0002977,Driver,Female
10BA0003001,Driver,Female
10BA0003001,Driver,Male
10BA0005780,Passenger,Male
10CA0002954,Driver,Female
10CA0002954,Passenger,Female
10CA0002954,Passenger,Female
10CA0003659,Driver,Male
10AA0002993,Pedestrian,Male
10BA0002983,Driver,Male
10BA0002983,Passenger,Female
10BA0002983,Passenger,Female
10MU0003046,Passenger,Female
10AA0003007,Driver,Male
10AA0003012,Pedestrian,Female
10AA0003024,Pedestrian,Female
10AA0003098,Driver,Male
10AA0003098,Driver,Female
10BA0003088,Driver,Female
10CA0003006,Pedestrian,Male
10CA0003061,Driver,Female
10CA0003061,Driver,Male
10CA0003192,Driver,Female
10AA0003042,Passenger,Male
10BA0003067,Driver,Male
10BA0003097,Driver,Female
10BA0003097,Driver,Male
10BA0003123,Passenger,Female
10BA0003123,Passenger,Male
10BA0003123,Passenger,Female
10BA0003124,Pedestrian,Male
10CA0003055,Pedestrian,Female
10CA0003105,Driver,Male
10CA0003231,Pedestrian,Female
10AA0003064,Driver,Female
10AA0003326,Passenger,Male
10AA0003326,Driver,Female
10BA0003108,Pedestrian,Female
10CA0003109,Driver,Male
10CA0003239,Passenger,Female
10CA0003307,Driver,Male
10CA0003307,Pedestrian,Male
10MU0003215,Passenger,Female
10AA0003102,Pedestrian,Female
10AA0003116,Driver,Female
10AA0003116,Passenger,Female
10BA0003908,Driver,Male
10BA0003908,Passenger,Female
10CA0003198,Pedestrian,Female
10MU0003290,Passenger,Female
10AA0003107,Passenger,Male
10AA0003127,Pedestrian,Male
10AA0003252,Driver,Male
10AA0003252,Passenger,Female
10CA0003113,Driver,Female
10CA0003165,Driver,Female
10CA0003201,Passenger,Female
10CA0003201,Passenger,Female
10MU0003225,Driver,Female
10AA0003095,Pedestrian,Male
10AA0003332,Driver,Female
10AA0003332,Passenger,Female
10AA0003377,Passenger,Female
10BA0003159,Driver,Male
10BA0004198,Driver,Male
10CA0003158,Driver,Female
10AA0003470,Driver,Male
10AA0003470,Driver,Female
10AA0003470,Passenger,Male
10BA0003177,Driver,Male
10BA0003199,Driver,Male
10BA0003199,Passenger,Female
10BA0003199,Passenger,Female
10BA0003199,Passenger,Male
10AA0003218,Driver,Male
10CA0003654,Driver,Male
10MU0003329,Driver,Female
10AA0003666,Pedestrian,Female
10BA0003228,Driver,Male
10BA0003361,Driver,Female
10CA0003224,Driver,Male
10CA0003265,Pedestrian,Female
10AA0003335,Driver,Male
10AA0003359,Driver,Male
10BA0003412,Passenger,Male
10BA0003806,Pedestrian,Female
10CA0003263,Driver,Male
10CA0003285,Pedestrian,Female
10CA0003292,Driver,Female
10AA0003322,Pedestrian,Male
10BA0003325,Driver,Male
10BA0003343,Driver,Male
10BA0003387,Driver,Female
10BA0003387,Passenger,Female
10CA0003321,Driver,Male
10CA0003321,Driver,Female
10CA0003327,Pedestrian,Male
10MU0003364,Driver,Female
10AA0003315,Driver,Male
10AA0003315,Driver,Female
10AA0003315,Passenger,Female
10AA0003315,Passenger,Male
10AA0003324,Driver,Female
10BA0003384,Driver,Female
10CA0003379,Driver,Female
10CA0003379,Driver,Male
10CA0003379,Passenger,Female
10CA0003379,Passenger,Female
10CA0003379,Passenger,Female
10CA0003496,Driver,Male
10CA0003568,Driver,Female
10CA0003568,Passenger,Female
10CA0003568,Passenger,Female
10CA0003568,Passenger,Female
10MU0003462,Passenger,Female
10AA0003311,Pedestrian,Male
10BA0003396,Driver,Male
10BA0003414,Driver,Male
10BA0003572,Driver,Female
10CA0003374,Driver,Female
10CA0004411,Driver,Male
10AA0003375,Passenger,Female
10AA0003375,Passenger,Male
10AA0003375,Passenger,Female
10AA0003458,Passenger,Female
10AA0003524,Driver,Male
10BA0003336,Driver,Male
10BA0003336,Driver,Male
10BA0003356,Pedestrian,Male
10BA0003415,Driver,Male
10BA0003415,Passenger,Female
10BA0003514,Pedestrian,Female
10BA0003576,Pedestrian,Female
10CA0003348,Pedestrian,Male
10MU0003472,Driver,Male
10AA0003459,Driver,Male
10AA0003459,Driver,Male
10AA0003676,Driver,Female
10BA0003457,Driver,Male
10CA0003439,Pedestrian,Female
